id,municipio,apodo,id_municipio_sepomex,id_estado
1,Aguascalientes,Aguascalientes,1,1
2,San Francisco de los Romo,San Francisco de los Romo,11,1
3,El Llano,El Llano,10,1
4,Rincón de Romos,Rincón de Romos,7,1
5,Cosío,Cosío,4,1
6,San José de Gracia,San José de Gracia,8,1
7,Tepezalá,Tepezalá,9,1
8,Pabellón de Arteaga,Pabellón de Arteaga,6,1
9,Asientos,Asientos,2,1
10,Calvillo,Calvillo,3,1
11,Jesús María,Jesús María,5,1
12,Mexicali,Mexicali,2,2
13,Tecate,Tecate,3,2
14,San Felipe,San Felipe,7,2
15,Tijuana,Tijuana,4,2
16,Playas de Rosarito,Playas de Rosarito,5,2
17,Ensenada,Ensenada,1,2
18,San Quintín,San Quintín,6,2
19,La Paz,La Paz,3,3
20,Los Cabos,Los Cabos,8,3
21,Comondú,Comondú,1,3
22,Loreto,Loreto,9,3
23,Mulegé,Mulegé,2,3
24,Campeche,Campeche,2,4
25,Carmen,Carmen,3,4
26,Palizada,Palizada,7,4
27,Candelaria,Candelaria,11,4
28,Escárcega,Escárcega,9,4
29,Champotón,Champotón,4,4
30,Seybaplaya,Seybaplaya,12,4
31,Hopelchén,Hopelchén,6,4
32,Calakmul,Calakmul,10,4
33,Tenabo,Tenabo,8,4
34,Hecelchakán,Hecelchakán,5,4
35,Calkiní,Calkiní,1,4
36,Dzitbalché,Dzitbalché,13,4
37,Saltillo,Saltillo,30,5
38,Arteaga,Arteaga,4,5
39,Juárez,Juárez,15,5
40,Progreso,Progreso,26,5
41,Escobedo,Escobedo,8,5
42,San Buenaventura,San Buenaventura,31,5
43,Abasolo,Abasolo,1,5
44,Candela,Candela,5,5
45,Frontera,Frontera,10,5
46,Monclova,Monclova,18,5
47,Castaños,Castaños,6,5
48,Ramos Arizpe,Ramos Arizpe,27,5
49,General Cepeda,General Cepeda,11,5
50,Piedras Negras,Piedras Negras,25,5
51,Nava,Nava,22,5
52,Acuña,Acuña,2,5
53,Múzquiz,Múzquiz,20,5
54,Jiménez,Jiménez,14,5
55,Zaragoza,Zaragoza,38,5
56,Morelos,Morelos,19,5
57,Allende,Allende,3,5
58,Villa Unión,Villa Unión,37,5
59,Guerrero,Guerrero,12,5
60,Hidalgo,Hidalgo,13,5
61,Sabinas,Sabinas,28,5
62,San Juan de Sabinas,San Juan de Sabinas,32,5
63,Torreón,Torreón,35,5
64,Matamoros,Matamoros,17,5
65,Viesca,Viesca,36,5
66,Ocampo,Ocampo,23,5
67,Nadadores,Nadadores,21,5
68,Sierra Mojada,Sierra Mojada,34,5
69,Cuatro Ciénegas,Cuatro Ciénegas,7,5
70,Lamadrid,Lamadrid,16,5
71,Sacramento,Sacramento,29,5
72,San Pedro,San Pedro,33,5
73,Francisco I. Madero,Francisco I. Madero,9,5
74,Parras,Parras,24,5
75,Colima,Colima,2,6
76,Tecomán,Tecomán,9,6
77,Manzanillo,Manzanillo,7,6
78,Armería,Armería,1,6
79,Coquimatlán,Coquimatlán,4,6
80,Comala,Comala,3,6
81,Cuauhtémoc,Cuauhtémoc,5,6
82,Ixtlahuacán,Ixtlahuacán,6,6
83,Minatitlán,Minatitlán,8,6
84,Villa de Álvarez,Villa de Álvarez,10,6
85,Tuxtla Gutiérrez,Tuxtla Gutiérrez,101,7
86,San Fernando,San Fernando,79,7
87,Berriozábal,Berriozábal,12,7
88,Ocozocoautla de Espinosa,Ocozocoautla de Espinosa,61,7
89,Suchiapa,Suchiapa,86,7
90,Chiapa de Corzo,Chiapa de Corzo,27,7
91,Osumacinta,Osumacinta,63,7
92,San Cristóbal de las Casas,San Cristóbal de las Casas,78,7
93,Chamula,Chamula,23,7
94,Ixtapa,Ixtapa,44,7
95,Zinacantán,Zinacantán,111,7
96,Acala,Acala,2,7
97,Emiliano Zapata,Emiliano Zapata,123,7
98,Chiapilla,Chiapilla,28,7
99,San Lucas,San Lucas,110,7
100,Teopisca,Teopisca,94,7
101,Amatenango del Valle,Amatenango del Valle,7,7
102,Chanal,Chanal,24,7
103,Oxchuc,Oxchuc,64,7
104,Huixtán,Huixtán,38,7
105,Tenejapa,Tenejapa,93,7
106,Mitontic,Mitontic,56,7
107,Reforma,Reforma,74,7
108,Juárez,Juárez,48,7
109,Pichucalco,Pichucalco,68,7
110,Sunuapa,Sunuapa,88,7
111,Ostuacán,Ostuacán,62,7
112,Francisco León,Francisco León,33,7
113,Ixtacomitán,Ixtacomitán,43,7
114,Solosuchiapa,Solosuchiapa,84,7
115,Ixtapangajoya,Ixtapangajoya,45,7
116,Mezcalapa,Mezcalapa,124,7
117,Tecpatán,Tecpatán,92,7
118,Copainalá,Copainalá,21,7
119,Chicoasén,Chicoasén,29,7
120,Coapilla,Coapilla,18,7
121,Pantepec,Pantepec,67,7
122,Tapalapa,Tapalapa,90,7
123,Ocotepec,Ocotepec,60,7
124,Chapultenango,Chapultenango,25,7
125,Amatán,Amatán,5,7
126,Huitiupán,Huitiupán,39,7
127,Ixhuatán,Ixhuatán,42,7
128,Tapilula,Tapilula,91,7
129,Rayón,Rayón,73,7
130,Pueblo Nuevo Solistahuacán,Pueblo Nuevo Solistahuacán,72,7
131,Rincón Chamula San Pedro,Rincón Chamula San Pedro,121,7
132,Jitotol,Jitotol,47,7
133,Bochil,Bochil,13,7
134,Soyaló,Soyaló,85,7
135,San Juan Cancuc,San Juan Cancuc,112,7
136,Sabanilla,Sabanilla,76,7
137,Simojovel,Simojovel,81,7
138,San Andrés Duraznal,San Andrés Duraznal,118,7
139,El Bosque,El Bosque,14,7
140,Chalchihuitán,Chalchihuitán,22,7
141,Larráinzar,Larráinzar,49,7
142,Santiago el Pinar,Santiago el Pinar,119,7
143,Chenalhó,Chenalhó,26,7
144,Aldama,Aldama,113,7
145,Pantelhó,Pantelhó,66,7
146,Sitalá,Sitalá,82,7
147,Salto de Agua,Salto de Agua,77,7
148,Tila,Tila,96,7
149,Tumbalá,Tumbalá,100,7
150,Yajalón,Yajalón,109,7
151,Ocosingo,Ocosingo,59,7
152,Chilón,Chilón,31,7
153,Benemérito de las Américas,Benemérito de las Américas,114,7
154,Marqués de Comillas,Marqués de Comillas,116,7
155,Palenque,Palenque,65,7
156,La Libertad,La Libertad,50,7
157,Catazajá,Catazajá,16,7
158,Comitán de Domínguez,Comitán de Domínguez,19,7
159,Tzimol,Tzimol,104,7
160,Chicomuselo,Chicomuselo,30,7
161,Bella Vista,Bella Vista,11,7
162,Frontera Comalapa,Frontera Comalapa,34,7
163,La Trinitaria,La Trinitaria,99,7
164,La Independencia,La Independencia,41,7
165,Maravilla Tenejapa,Maravilla Tenejapa,115,7
166,Las Margaritas,Las Margaritas,52,7
167,Altamirano,Altamirano,4,7
168,Venustiano Carranza,Venustiano Carranza,106,7
169,Totolapa,Totolapa,98,7
170,Nicolás Ruíz,Nicolás Ruíz,58,7
171,Las Rosas,Las Rosas,75,7
172,La Concordia,La Concordia,20,7
173,Ángel Albino Corzo,Ángel Albino Corzo,8,7
174,Montecristo de Guerrero,Montecristo de Guerrero,117,7
175,Socoltenango,Socoltenango,83,7
176,Cintalapa de Figueroa,Cintalapa de Figueroa,17,7
177,Jiquipilas,Jiquipilas,46,7
178,Arriaga,Arriaga,9,7
179,Villaflores,Villaflores,108,7
180,Tonalá,Tonalá,97,7
181,Villa Corzo,Villa Corzo,107,7
182,El Parral,El Parral,122,7
183,Pijijiapan,Pijijiapan,69,7
184,Mapastepec,Mapastepec,51,7
185,Acapetahua,Acapetahua,3,7
186,Acacoyagua,Acacoyagua,1,7
187,Escuintla,Escuintla,32,7
188,Villa Comaltitlán,Villa Comaltitlán,71,7
189,Huixtla,Huixtla,40,7
190,Mazatán,Mazatán,54,7
191,Huehuetán,Huehuetán,37,7
192,Tuzantán,Tuzantán,103,7
193,Tapachula,Tapachula,89,7
194,Suchiate,Suchiate,87,7
195,Frontera Hidalgo,Frontera Hidalgo,35,7
196,Metapa,Metapa,55,7
197,Tuxtla Chico,Tuxtla Chico,102,7
198,Unión Juárez,Unión Juárez,105,7
199,Cacahoatán,Cacahoatán,15,7
200,Motozintla,Motozintla,57,7
201,Mazapa de Madero,Mazapa de Madero,53,7
202,Amatenango de la Frontera,Amatenango de la Frontera,6,7
203,Bejucal de Ocampo,Bejucal de Ocampo,10,7
204,La Grandeza,La Grandeza,36,7
205,El Porvenir,El Porvenir,70,7
206,Siltepec,Siltepec,80,7
207,Honduras de la Sierra,Honduras de la Sierra,125,7
208,Capitán Luis Ángel Vidal,Capitán Luis Ángel Vidal,120,7
209,Chihuahua,Chihuahua,19,8
210,Cuauhtémoc,Cuauhtémoc,17,8
211,Riva Palacio,Riva Palacio,54,8
212,Aquiles Serdán,Aquiles Serdán,4,8
213,Bachíniva,Bachíniva,6,8
214,Guerrero,Guerrero,31,8
215,Nuevo Casas Grandes,Nuevo Casas Grandes,50,8
216,Ascensión,Ascensión,5,8
217,Janos,Janos,35,8
218,Casas Grandes,Casas Grandes,13,8
219,Galeana,Galeana,23,8
220,Buenaventura,Buenaventura,10,8
221,Gómez Farías,Gómez Farías,25,8
222,Ignacio Zaragoza,Ignacio Zaragoza,34,8
223,Madera,Madera,40,8
224,Namiquipa,Namiquipa,48,8
225,Temósachic,Temósachic,63,8
226,Matachí,Matachí,43,8
227,Juárez,Juárez,37,8
228,Guadalupe,Guadalupe,28,8
229,Praxedis G. Guerrero,Praxedis G. Guerrero,53,8
230,Ahumada,Ahumada,1,8
231,Coyame del Sotol,Coyame del Sotol,15,8
232,Ojinaga,Ojinaga,52,8
233,Aldama,Aldama,2,8
234,Julimes,Julimes,38,8
235,Manuel Benavides,Manuel Benavides,42,8
236,Delicias,Delicias,21,8
237,Rosales,Rosales,55,8
238,Meoqui,Meoqui,45,8
239,Dr. Belisario Domínguez,Dr. Belisario Domínguez,22,8
240,Satevó,Satevó,61,8
241,San Francisco de Borja,San Francisco de Borja,57,8
242,Nonoava,Nonoava,49,8
243,Guachochi,Guachochi,27,8
244,Bocoyna,Bocoyna,9,8
245,Cusihuiriachi,Cusihuiriachi,18,8
246,Gran Morelos,Gran Morelos,26,8
247,Santa Isabel,Santa Isabel,24,8
248,Carichí,Carichí,12,8
249,Uruachi,Uruachi,66,8
250,Ocampo,Ocampo,51,8
251,Moris,Moris,47,8
252,Chínipas,Chínipas,20,8
253,Maguarichi,Maguarichi,41,8
254,Guazapares,Guazapares,30,8
255,Batopilas de Manuel Gómez Morín,Batopilas de Manuel Gómez Morín,8,8
256,Urique,Urique,65,8
257,Morelos,Morelos,46,8
258,Guadalupe y Calvo,Guadalupe y Calvo,29,8
259,San Francisco del Oro,San Francisco del Oro,59,8
260,Rosario,Rosario,56,8
261,Huejotitán,Huejotitán,33,8
262,El Tule,El Tule,64,8
263,Balleza,Balleza,7,8
264,Santa Bárbara,Santa Bárbara,60,8
265,Camargo,Camargo,11,8
266,Saucillo,Saucillo,62,8
267,Valle de Zaragoza,Valle de Zaragoza,67,8
268,La Cruz,La Cruz,16,8
269,San Francisco de Conchos,San Francisco de Conchos,58,8
270,Hidalgo del Parral,Hidalgo del Parral,32,8
271,Allende,Allende,3,8
272,López,López,39,8
273,Matamoros,Matamoros,44,8
274,Jiménez,Jiménez,36,8
275,Coronado,Coronado,14,8
276,Álvaro Obregón,Álvaro Obregón,10,9
277,Azcapotzalco,Azcapotzalco,2,9
278,Benito Juárez,Benito Juárez,14,9
279,Coyoacán,Coyoacán,3,9
280,Cuajimalpa de Morelos,Cuajimalpa de Morelos,4,9
281,Cuauhtémoc,Cuauhtémoc,15,9
282,Gustavo A. Madero,Gustavo A. Madero,5,9
283,Iztacalco,Iztacalco,6,9
284,Iztapalapa,Iztapalapa,7,9
285,La Magdalena Contreras,La Magdalena Contreras,8,9
286,Miguel Hidalgo,Miguel Hidalgo,16,9
287,Milpa Alta,Milpa Alta,9,9
288,Tláhuac,Tláhuac,11,9
289,Tlalpan,Tlalpan,12,9
290,Venustiano Carranza,Venustiano Carranza,17,9
291,Xochimilco,Xochimilco,13,9
292,Durango,Durango,5,10
293,Canatlán,Canatlán,1,10
294,Nuevo Ideal,Nuevo Ideal,39,10
295,Coneto de Comonfort,Coneto de Comonfort,3,10
296,San Juan del Río,San Juan del Río,28,10
297,Canelas,Canelas,2,10
298,Topia,Topia,37,10
299,Tamazula,Tamazula,34,10
300,Santiago Papasquiaro,Santiago Papasquiaro,32,10
301,Otáez,Otáez,19,10
302,San Dimas,San Dimas,26,10
303,Guadalupe Victoria,Guadalupe Victoria,8,10
304,Peñón Blanco,Peñón Blanco,21,10
305,Pánuco de Coronado,Pánuco de Coronado,20,10
306,Poanas,Poanas,22,10
307,Nombre de Dios,Nombre de Dios,16,10
308,Vicente Guerrero,Vicente Guerrero,38,10
309,Súchil,Súchil,33,10
310,Pueblo Nuevo,Pueblo Nuevo,23,10
311,Mezquital,Mezquital,14,10
312,Gómez Palacio,Gómez Palacio,7,10
313,Lerdo,Lerdo,12,10
314,Mapimí,Mapimí,13,10
315,Tlahualilo,Tlahualilo,36,10
316,Hidalgo,Hidalgo,10,10
317,Ocampo,Ocampo,17,10
318,Guanaceví,Guanaceví,9,10
319,San Bernardo,San Bernardo,25,10
320,Indé,Indé,11,10
321,San Pedro del Gallo,San Pedro del Gallo,30,10
322,Tepehuanes,Tepehuanes,35,10
323,El Oro,El Oro,18,10
324,Nazas,Nazas,15,10
325,San Luis del Cordero,San Luis del Cordero,29,10
326,Rodeo,Rodeo,24,10
327,Cuencamé,Cuencamé,4,10
328,Santa Clara,Santa Clara,31,10
329,San Juan de Guadalupe,San Juan de Guadalupe,27,10
330,General Simón Bolívar,General Simón Bolívar,6,10
331,Guanajuato,Guanajuato,15,11
332,Silao de la Victoria,Silao de la Victoria,37,11
333,Romita,Romita,26,11
334,San Francisco del Rincón,San Francisco del Rincón,31,11
335,Purísima del Rincón,Purísima del Rincón,25,11
336,Manuel Doblado,Manuel Doblado,8,11
337,Irapuato,Irapuato,17,11
338,Salamanca,Salamanca,27,11
339,Pueblo Nuevo,Pueblo Nuevo,24,11
340,Pénjamo,Pénjamo,23,11
341,Cuerámaro,Cuerámaro,12,11
342,Abasolo,Abasolo,1,11
343,Huanímaro,Huanímaro,16,11
344,León,León,20,11
345,San Felipe,San Felipe,30,11
346,Ocampo,Ocampo,22,11
347,San Miguel de Allende,San Miguel de Allende,3,11
348,Dolores Hidalgo Cuna de la Independencia Nacional,Dolores Hidalgo Cuna de la Independencia Nacional,14,11
349,San Diego de la Unión,San Diego de la Unión,29,11
350,San Luis de la Paz,San Luis de la Paz,33,11
351,Victoria,Victoria,43,11
352,Xichú,Xichú,45,11
353,Atarjea,Atarjea,6,11
354,Santa Catarina,Santa Catarina,34,11
355,Doctor Mora,Doctor Mora,13,11
356,Tierra Blanca,Tierra Blanca,40,11
357,San José Iturbide,San José Iturbide,32,11
358,Celaya,Celaya,7,11
359,Apaseo el Grande,Apaseo el Grande,5,11
360,Comonfort,Comonfort,9,11
361,Santa Cruz de Juventino Rosas,Santa Cruz de Juventino Rosas,35,11
362,Villagrán,Villagrán,44,11
363,Cortazar,Cortazar,11,11
364,Valle de Santiago,Valle de Santiago,42,11
365,Jaral del Progreso,Jaral del Progreso,18,11
366,Apaseo el Alto,Apaseo el Alto,4,11
367,Jerécuaro,Jerécuaro,19,11
368,Coroneo,Coroneo,10,11
369,Acámbaro,Acámbaro,2,11
370,Tarimoro,Tarimoro,39,11
371,Tarandacuao,Tarandacuao,38,11
372,Moroleón,Moroleón,21,11
373,Salvatierra,Salvatierra,28,11
374,Yuriria,Yuriria,46,11
375,Santiago Maravatío,Santiago Maravatío,36,11
376,Uriangato,Uriangato,41,11
377,Chilpancingo de los Bravo,Chilpancingo de los Bravo,29,12
378,General Heliodoro Castillo,General Heliodoro Castillo,32,12
379,Leonardo Bravo,Leonardo Bravo,40,12
380,Tixtla de Guerrero,Tixtla de Guerrero,61,12
381,Ayutla de los Libres,Ayutla de los Libres,12,12
382,Ñuu Savi,Ñuu Savi,83,12
383,Mochitlán,Mochitlán,44,12
384,Quechultenango,Quechultenango,51,12
385,Tecoanapa,Tecoanapa,56,12
386,Acapulco de Juárez,Acapulco de Juárez,1,12
387,Juan R. Escudero,Juan R. Escudero,39,12
388,San Marcos,San Marcos,53,12
389,Las Vigas,Las Vigas,82,12
390,Iguala de la Independencia,Iguala de la Independencia,35,12
391,Huitzuco de los Figueroa,Huitzuco de los Figueroa,34,12
392,Tepecoacuilco de Trujano,Tepecoacuilco de Trujano,59,12
393,Eduardo Neri,Eduardo Neri,75,12
394,Taxco de Alarcón,Taxco de Alarcón,55,12
395,Buenavista de Cuéllar,Buenavista de Cuéllar,15,12
396,Tetipac,Tetipac,60,12
397,Pilcaya,Pilcaya,49,12
398,Teloloapan,Teloloapan,58,12
399,Ixcateopan de Cuauhtémoc,Ixcateopan de Cuauhtémoc,37,12
400,Pedro Ascencio Alquisiras,Pedro Ascencio Alquisiras,47,12
401,General Canuto A. Neri,General Canuto A. Neri,31,12
402,Arcelia,Arcelia,7,12
403,Apaxtla,Apaxtla,6,12
404,Cuetzala del Progreso,Cuetzala del Progreso,26,12
405,Cocula,Cocula,17,12
406,Tlapehuala,Tlapehuala,67,12
407,Cutzamala de Pinzón,Cutzamala de Pinzón,27,12
408,Pungarabato,Pungarabato,50,12
409,Tlalchapa,Tlalchapa,64,12
410,Coyuca de Catalán,Coyuca de Catalán,22,12
411,Ajuchitlán del Progreso,Ajuchitlán del Progreso,3,12
412,Zirándaro,Zirándaro,73,12
413,San Miguel Totolapan,San Miguel Totolapan,54,12
414,La Unión de Isidoro Montes de Oca,La Unión de Isidoro Montes de Oca,68,12
415,Petatlán,Petatlán,48,12
416,Coahuayutla de José María Izazaga,Coahuayutla de José María Izazaga,16,12
417,Zihuatanejo de Azueta,Zihuatanejo de Azueta,38,12
418,Técpan de Galeana,Técpan de Galeana,57,12
419,Atoyac de Álvarez,Atoyac de Álvarez,11,12
420,Benito Juárez,Benito Juárez,14,12
421,Coyuca de Benítez,Coyuca de Benítez,21,12
422,Olinalá,Olinalá,45,12
423,Atenango del Río,Atenango del Río,8,12
424,Copalillo,Copalillo,19,12
425,Cualác,Cualác,24,12
426,Chilapa de Álvarez,Chilapa de Álvarez,28,12
427,José Joaquín de Herrera,José Joaquín de Herrera,79,12
428,Ahuacuotzingo,Ahuacuotzingo,2,12
429,Zitlala,Zitlala,74,12
430,Mártir de Cuilapan,Mártir de Cuilapan,42,12
431,Huamuxtitlán,Huamuxtitlán,33,12
432,Xochihuehuetlán,Xochihuehuetlán,70,12
433,Alpoyeca,Alpoyeca,5,12
434,Tlapa de Comonfort,Tlapa de Comonfort,66,12
435,Tlalixtaquilla de Maldonado,Tlalixtaquilla de Maldonado,65,12
436,Xalpatláhuac,Xalpatláhuac,69,12
437,Zapotitlán Tablas,Zapotitlán Tablas,72,12
438,Acatepec,Acatepec,76,12
439,Atlixtac,Atlixtac,10,12
440,Copanatoyac,Copanatoyac,20,12
441,Malinaltepec,Malinaltepec,41,12
442,Santa Cruz del Rincón,Santa Cruz del Rincón,84,12
443,Iliatenco,Iliatenco,81,12
444,Tlacoapa,Tlacoapa,63,12
445,Atlamajalcingo del Monte,Atlamajalcingo del Monte,9,12
446,San Luis Acatlán,San Luis Acatlán,52,12
447,Metlatónoc,Metlatónoc,43,12
448,Cochoapa el Grande,Cochoapa el Grande,78,12
449,Alcozauca de Guerrero,Alcozauca de Guerrero,4,12
450,Ometepec,Ometepec,46,12
451,Tlacoachistlahuaca,Tlacoachistlahuaca,62,12
452,Xochistlahuaca,Xochistlahuaca,71,12
453,Florencio Villarreal,Florencio Villarreal,30,12
454,Cuautepec,Cuautepec,25,12
455,Copala,Copala,18,12
456,Azoyú,Azoyú,13,12
457,Juchitán,Juchitán,80,12
458,Marquelia,Marquelia,77,12
459,Cuajinicuilapa,Cuajinicuilapa,23,12
460,San Nicolás,San Nicolás,85,12
461,Igualapa,Igualapa,36,12
462,Pachuca de Soto,Pachuca de Soto,48,13
463,Mineral del Chico,Mineral del Chico,38,13
464,Mineral del Monte,Mineral del Monte,39,13
465,Ajacuba,Ajacuba,5,13
466,San Agustín Tlaxiaca,San Agustín Tlaxiaca,52,13
467,Mineral de la Reforma,Mineral de la Reforma,51,13
468,Zapotlán de Juárez,Zapotlán de Juárez,82,13
469,Jacala de Ledezma,Jacala de Ledezma,31,13
470,Pisaflores,Pisaflores,49,13
471,Pacula,Pacula,47,13
472,La Misión,La Misión,40,13
473,Chapulhuacán,Chapulhuacán,18,13
474,Ixmiquilpan,Ixmiquilpan,30,13
475,Zimapán,Zimapán,84,13
476,Nicolás Flores,Nicolás Flores,43,13
477,Cardonal,Cardonal,15,13
478,Tasquillo,Tasquillo,58,13
479,Alfajayucan,Alfajayucan,6,13
480,Huichapan,Huichapan,29,13
481,Tecozautla,Tecozautla,59,13
482,Nopala de Villagrán,Nopala de Villagrán,44,13
483,Actopan,Actopan,3,13
484,Santiago de Anaya,Santiago de Anaya,55,13
485,San Salvador,San Salvador,54,13
486,Francisco I. Madero,Francisco I. Madero,23,13
487,El Arenal,El Arenal,9,13
488,Mixquiahuala de Juárez,Mixquiahuala de Juárez,41,13
489,Progreso de Obregón,Progreso de Obregón,50,13
490,Chilcuautla,Chilcuautla,19,13
491,Tezontepec de Aldama,Tezontepec de Aldama,67,13
492,Tlahuelilpan,Tlahuelilpan,70,13
493,Tula de Allende,Tula de Allende,76,13
494,Tepeji del Río de Ocampo,Tepeji del Río de Ocampo,63,13
495,Chapantongo,Chapantongo,17,13
496,Tepetitlán,Tepetitlán,64,13
497,Tetepango,Tetepango,65,13
498,Tlaxcoapan,Tlaxcoapan,74,13
499,Atitalaquia,Atitalaquia,10,13
500,Atotonilco de Tula,Atotonilco de Tula,13,13
501,Huejutla de Reyes,Huejutla de Reyes,28,13
502,San Felipe Orizatlán,San Felipe Orizatlán,46,13
503,Jaltocán,Jaltocán,32,13
504,Huautla,Huautla,25,13
505,Atlapexco,Atlapexco,11,13
506,Huazalingo,Huazalingo,26,13
507,Yahualica,Yahualica,80,13
508,Xochiatipan,Xochiatipan,78,13
509,Molango de Escamilla,Molango de Escamilla,42,13
510,Tepehuacán de Guerrero,Tepehuacán de Guerrero,62,13
511,Lolotla,Lolotla,34,13
512,Tlanchinol,Tlanchinol,73,13
513,Tlahuiltepa,Tlahuiltepa,71,13
514,Juárez Hidalgo,Juárez Hidalgo,33,13
515,Zacualtipán de Ángeles,Zacualtipán de Ángeles,81,13
516,Calnali,Calnali,14,13
517,Xochicoatlán,Xochicoatlán,79,13
518,Tianguistengo,Tianguistengo,68,13
519,Atotonilco el Grande,Atotonilco el Grande,12,13
520,Eloxochitlán,Eloxochitlán,20,13
521,Metztitlán,Metztitlán,37,13
522,San Agustín Metzquititlán,San Agustín Metzquititlán,36,13
523,Metepec,Metepec,35,13
524,Huehuetla,Huehuetla,27,13
525,San Bartolo Tutotepec,San Bartolo Tutotepec,53,13
526,Agua Blanca de Iturbide,Agua Blanca de Iturbide,4,13
527,Tenango de Doria,Tenango de Doria,60,13
528,Huasca de Ocampo,Huasca de Ocampo,24,13
529,Acatlán,Acatlán,1,13
530,Omitlán de Juárez,Omitlán de Juárez,45,13
531,Epazoyucan,Epazoyucan,22,13
532,Tulancingo de Bravo,Tulancingo de Bravo,77,13
533,Acaxochitlán,Acaxochitlán,2,13
534,Cuautepec de Hinojosa,Cuautepec de Hinojosa,16,13
535,Santiago Tulantepec de Lugo Guerrero,Santiago Tulantepec de Lugo Guerrero,56,13
536,Singuilucan,Singuilucan,57,13
537,Tizayuca,Tizayuca,69,13
538,Zempoala,Zempoala,83,13
539,Tolcayuca,Tolcayuca,75,13
540,Villa de Tezontepec,Villa de Tezontepec,66,13
541,Apan,Apan,8,13
542,Tlanalapa,Tlanalapa,72,13
543,Almoloya,Almoloya,7,13
544,Emiliano Zapata,Emiliano Zapata,21,13
545,Tepeapulco,Tepeapulco,61,13
546,Guadalajara,Guadalajara,39,14
547,Zapopan,Zapopan,120,14
548,San Cristóbal de la Barranca,San Cristóbal de la Barranca,71,14
549,Ixtlahuacán del Río,Ixtlahuacán del Río,45,14
550,Tala,Tala,83,14
551,El Arenal,El Arenal,9,14
552,Amatitán,Amatitán,5,14
553,Tonalá,Tonalá,101,14
554,Zapotlanejo,Zapotlanejo,124,14
555,Acatic,Acatic,1,14
556,Cuquío,Cuquío,29,14
557,San Pedro Tlaquepaque,San Pedro Tlaquepaque,98,14
558,Tlajomulco de Zúñiga,Tlajomulco de Zúñiga,97,14
559,El Salto,El Salto,70,14
